8.893992009260296427e-01,9.862761214476076788e-01
8.878682648146073442e-01,9.863757503300206730e-01
8.866360479444381770e-01,9.862263070064011261e-01
8.893245211157163599e-01,9.849560387556353103e-01
8.887270826332100970e-01,9.850058531968417519e-01
8.856278705052089695e-01,9.859772348003685849e-01
8.881669840558604756e-01,9.857281625943360437e-01
8.832007766700272766e-01,9.858028842561458172e-01
8.874575258578842885e-01,9.854790903883036135e-01
8.867854075650647427e-01,9.855289048295100551e-01
8.876442253836674956e-01,9.858526986973523698e-01
8.856278705052089695e-01,9.855538120501132759e-01
8.848437324969194995e-01,9.859523275797653641e-01
8.862999887980284042e-01,9.861515853445913526e-01
8.913408759941749970e-01,9.857530698149393755e-01
8.904073783652589613e-01,9.841590076963311340e-01
8.870094469960045913e-01,9.847069665496027691e-01
8.892498413054030770e-01,9.843831726817604544e-01
8.867854075650647427e-01,9.859274203591621433e-01
8.893992009260296427e-01,9.855787192707166078e-01
